SampleID,Subtype,Dataset,Dataset Version,Clade,Genin Version,Genotype,Sub-genotype,Notes
25CR5363,H4N6,-,-,-,-,-,-,-
25CR5659,H5N1(HPAI),nextclade_H5_dataset,2026-04-14T11:55:23Z,2.3.4.4b,2.1.6,[unassigned],,"Genotype: compatible with EA-2024-DI, EA-2024-EE, EA-2024-EF; NP: unassigned"
25CR5865,H7N7(LPAI),nextclade_H7_dataset,-,-,-,-,-,-
25CR5715,H5N1(HPAI),nextclade_H5_dataset,2026-04-14T11:55:23Z,2.3.4.4b,2.1.6,EA-2024-DI,DI.2,
25CR6229,H6Nx,-,-,-,-,-,-,-
25CR5824,H5N1(HPAI),nextclade_H5_dataset,2026-04-14T11:55:23Z,2.3.4.4b,2.1.6,EA-2024-DI,DI.2,
24CR5236,H5N1(HPAI),nextclade_H5_dataset,2026-04-14T11:55:23Z,2.3.4.4b,2.1.6,[unassigned],,Genotype: unknown composition; PB2: missing; NP: unassigned; NA: unassigned; MP: unassigned
24CR5197,H13N2,-,-,-,-,-,-,-
24CR5076,H13Nx,-,-,-,-,-,-,-
25CR5713,H5N1(HPAI),nextclade_H5_dataset,2026-04-14T11:55:23Z,2.3.4.4b,2.1.6,EA-2024-DI,DI.2,
25CR5714,H5N1(HPAI),nextclade_H5_dataset,2026-04-14T11:55:23Z,2.3.4.4b,2.1.6,EA-2024-DI,DI.2,
25CR6084,H5N1(HPAI),nextclade_H5_dataset,2026-04-14T11:55:23Z,2.3.4.4b,2.1.6,EA-2024-DI,DI.2.1,
25CR6244,H5Nx(LPAI),nextclade_H5_dataset,2026-04-14T11:55:23Z,unassigned,-,-,-,-
25CR6193,H9Nx,nextclade_H9_dataset,-,-,-,-,-,-
25CR5922,H13N6,-,-,-,-,-,-,-
25CR5413,H6N8,-,-,-,-,-,-,-
24CR5124,H13N2,-,-,-,-,-,-,-
25CR5923,H5N1(HPAI),nextclade_H5_dataset,2026-04-14T11:55:23Z,2.3.4.4b,2.1.6,[unassigned],,"Genotype: compatible with EA-2024-DI, EA-2024-EE, EA-2024-EF; NP: unassigned"
24CR5247,H13N2,-,-,-,-,-,-,-
24CR5067,H5N2(LPAI),nextclade_H5_dataset,2026-04-14T11:55:23Z,unassigned,-,-,-,-
25CR6062,H5N1(HPAI),nextclade_H5_dataset,2026-04-14T11:55:23Z,2.3.4.4b,2.1.6,EA-2024-DI,DI.2.1,
