,precision,recall,f1-score,support
H10N1,1.0,1.0,1.0,6.0
H10N2,1.0,1.0,1.0,3.0
H10N3,1.0,1.0,1.0,1.0
H10N4,1.0,1.0,1.0,3.0
H10N7,1.0,1.0,1.0,20.0
H11N1,1.0,1.0,1.0,2.0
H11N2,1.0,1.0,1.0,26.0
H11N3,1.0,1.0,1.0,6.0
H11N7,1.0,1.0,1.0,1.0
H11N8,1.0,1.0,1.0,2.0
H11N9,1.0,1.0,1.0,26.0
H12N2,1.0,1.0,1.0,1.0
H12N3,1.0,1.0,1.0,1.0
H12N4,1.0,1.0,1.0,6.0
H12N5,1.0,1.0,1.0,57.0
H12N6,1.0,1.0,1.0,1.0
H12N8,1.0,1.0,1.0,6.0
H13N2,1.0,1.0,1.0,1.0
H13N6,1.0,1.0,1.0,18.0
H13N8,1.0,1.0,1.0,2.0
H14N5,1.0,1.0,1.0,1.0
H16N3,1.0,1.0,1.0,8.0
H1N1,1.0,1.0,1.0,68.0
H1N2,1.0,1.0,1.0,24.0
H1N3,1.0,1.0,1.0,1.0
H1N5,1.0,1.0,1.0,2.0
H1N7,1.0,1.0,1.0,1.0
H1N8,1.0,1.0,1.0,1.0
H2N1,0.9428571428571428,1.0,0.9705882352941176,33.0
H2N2,1.0,1.0,1.0,5.0
H2N3,1.0,1.0,1.0,6.0
H2N5,1.0,1.0,1.0,4.0
H2N7,1.0,1.0,1.0,1.0
H2N8,1.0,1.0,1.0,3.0
H2N9,1.0,1.0,1.0,16.0
H3N1,1.0,1.0,1.0,5.0
H3N2,1.0,1.0,1.0,67.0
H3N3,1.0,1.0,1.0,1.0
H3N6,0.9583333333333334,1.0,0.9787234042553191,23.0
H3N7,1.0,1.0,1.0,9.0
H3N8,1.0,1.0,1.0,116.0
H3N9,1.0,1.0,1.0,1.0
H4N1,1.0,1.0,1.0,2.0
H4N2,1.0,1.0,1.0,22.0
H4N4,1.0,1.0,1.0,1.0
H4N5,1.0,1.0,1.0,2.0
H4N6,1.0,1.0,1.0,220.0
H4N7,1.0,1.0,1.0,6.0
H4N8,1.0,1.0,1.0,29.0
H4N9,1.0,1.0,1.0,1.0
H5N1,1.0,0.9995873452544705,0.9997936300474651,7270.0
H5N2,1.0,0.9933333333333333,0.9966555183946488,150.0
H5N3,1.0,1.0,1.0,46.0
H5N4,1.0,1.0,1.0,13.0
H5N5,1.0,1.0,1.0,42.0
H5N6,1.0,1.0,1.0,7.0
H5N8,1.0,1.0,1.0,1.0
H5N9,1.0,1.0,1.0,4.0
H6N1,0.9833333333333333,1.0,0.9915966386554622,59.0
H6N2,1.0,1.0,1.0,76.0
H6N4,1.0,1.0,1.0,4.0
H6N5,1.0,1.0,1.0,10.0
H6N6,1.0,1.0,1.0,6.0
H6N8,1.0,0.9821428571428571,0.990990990990991,56.0
H7N2,1.0,1.0,1.0,1.0
H7N3,1.0,1.0,1.0,21.0
H7N4,1.0,1.0,1.0,3.0
H7N7,1.0,1.0,1.0,6.0
H7N8,1.0,1.0,1.0,2.0
H7N9,1.0,1.0,1.0,1.0
H8N3,1.0,1.0,1.0,2.0
H8N4,1.0,1.0,1.0,39.0
H8N6,1.0,1.0,1.0,1.0
H9N1,1.0,1.0,1.0,18.0
H9N2,1.0,1.0,1.0,224.0
H9N6,1.0,1.0,1.0,1.0
H9N8,1.0,1.0,1.0,2.0
H9N9,1.0,1.0,1.0,1.0
HXN2,0.0,0.0,0.0,0.0
accuracy,0.9994403402731139,0.9994403402731139,0.9994403402731139,0.9994403402731139
macro avg,0.9858800482218204,0.9870261207054515,0.9864347900966837,8934.0
weighted avg,0.9995715938043003,0.9994403402731139,0.9995005334053071,8934.0
