ID,SUBTYPE
20300134,H5N1
20300134,H5N1
20349292,H5N1
20349292,H5N1
20349293,H5N1
20349293,H5N1
20349290,H5N1
20349290,H5N1
20349291,H5N1
20349291,H5N1
20349289,H5N1
20349289,H5N1
20398419,H3N8
20398419,H3N8
20414803,H5N1
20414803,H5N1
20349278,H5N1
20349278,H5N1
20349272,H5N1
20349272,H5N1
20349273,H5N1
20349273,H5N1
20349249,H5N1
20349249,H5N1
20398135,H5N1
20398135,H5N1
20398134,H5N1
20398134,H5N1
20398133,H5N1
20398133,H5N1
20398132,H5N1
20398132,H5N1
20398131,H5N1
20398131,H5N1
20398130,H5N1
20398130,H5N1
20398129,H5N1
20398129,H5N1
20398128,H5N1
20398128,H5N1
20398143,H5N1
20398143,H5N1
20398142,H5N1
20398142,H5N1
20398141,H5N1
20398141,H5N1
20398140,H5N1
20398140,H5N1
20217919,H5N1
20217919,H5N1
20398139,H5N1
20398139,H5N1
20398138,H5N1
20398138,H5N1
20398137,H5N1
20398137,H5N1
20398136,H5N1
20398136,H5N1
20398119,H5N1
20398119,H5N1
20398118,H5N1
20398118,H5N1
20398117,H5N1
20398117,H5N1
20398116,H5N1
20398116,H5N1
20398115,H5N1
20398115,H5N1
20398114,H5N1
20398114,H5N1
20398113,H5N1
20398113,H5N1
20398112,H5N1
20398112,H5N1
20398127,H5N1
20398127,H5N1
20398126,H5N1
20398126,H5N1
20398125,H5N1
20398125,H5N1
20398124,H5N1
20398124,H5N1
20398123,H5N1
20398123,H5N1
20398122,H5N1
20398122,H5N1
20398121,H5N1
20398121,H5N1
20398120,H5N1
20398120,H5N1
20398103,H5N1
20398103,H5N1
20398102,H5N1
20398102,H5N1
20398097,H5N1
20398097,H5N1
20398096,H5N1
20398096,H5N1
20398111,H5N1
20398111,H5N1
20398110,H5N1
20398110,H5N1
20398109,H5N1
20398109,H5N1
20398108,H5N1
20398108,H5N1
20398107,H5N1
20398107,H5N1
20398106,H5N1
20398106,H5N1
20398105,H5N1
20398105,H5N1
20398104,H5N1
20398104,H5N1
20332551,H5N1
20332551,H5N1
20398095,H5N1
20398095,H5N1
20398094,H5N1
20398094,H5N1
20398093,H5N1
20398093,H5N1
20332556,H5N1
20332556,H5N1
20398092,H12N5
20398092,H12N5
20398091,H6N8
20398091,H6N8
20332554,H5N1
20332554,H5N1
20398090,H7N4
20398090,H7N4
20332555,H5N1
20332555,H5N1
20398089,H12N5
20398089,H12N5
20332552,H5N1
20332552,H5N1
20332553,H5N1
20332553,H5N1
20398199,H1N1
20398199,H1N1
20398198,H5N1
20398198,H5N1
20398197,H5N1
20398197,H5N1
20398196,H5N1
20398196,H5N1
20398195,H5N1
20398195,H5N1
20398194,H5N1
20398194,H5N1
20398193,H5N1
20398193,H5N1
20398192,H5N1
20398192,H5N1
20349053,H3N8
20349053,H3N8
20398183,H5N1
20398183,H5N1
20398182,H5N5
20398182,H5N5
20398181,H5N1
20398181,H5N1
20398180,H5N1
20398180,H5N1
20398179,H5N1
20398179,H5N1
20398178,H5N1
20398178,H5N1
20398177,H5N1
20398177,H5N1
20398176,H5N1
20398176,H5N1
20398191,H5N1
20398191,H5N1
20398190,H5N1
20398190,H5N1
20398189,H5N1
20398189,H5N1
20398188,H5N1
20398188,H5N1
20398187,H5N1
20398187,H5N1
20398186,H5N1
