seqName	inferred_subtype
148126	H5N1
201383	H9N2
20206696	H5N1
200922	H7N1
19136163	H5N1
19136146	H5N1
19770724	H3N2
205128	H7N9
19136162	H5N1
203003	H7N7
205130	H9N2
200921	H7N8
19770715	H3N2
205136	H1N1
205146	H6N2
200930	H4N8
205149	H11N9
200924	H7N7
201898	H1N1
205134	H9N2
200929	H7N1
205139	H5N6
205109	H5N2
200918	H6N1
205135	H1N1
205148	H11N9
200927	H4N8
205127	H7N9
203004	H7N7
205314	H5N6
19135815	H5N1
19136375	H5N1
19014392	H5N1
206036	H5N6
205107	H1N4
200832	H5N6
205313	H5N6
201365	H6N6
