seqID	real_clade	predicted_clade	match
A_/_H5N1|HA|A/chicken/Indiana/05288-001/2025|EPI_ISL_20336724|2.3.4.4b	2.3.4.4b	2.3.4.4b	True
A_/_H5N1|HA|A/large-billed_crow/Hokkaido/B175/2025|EPI_ISL_19906326|2.3.4.4b	2.3.4.4b	2.3.4.4b	True
A_/_H5N6|HA|A/Goose/_Guangdong_/SSZYP/2015(H5N6)|EPI_ISL_205967|2.3.4.4	2.3.4.4	2.3.4.4-like	False
A_/_H5N6|HA|A/duck/Hunan/HN183/2015|EPI_ISL_255600|2.3.4.4e	2.3.4.4e	2.3.4.4e	True
A_/_H5N6|HA|A/chicken/Jiangxi/04.01_NCDZT0279-P/2015(H5N6)|EPI_ISL_198932|2.3.4.4e	2.3.4.4e	2.3.4.4d	False
A_/_H5N6|HA|A/coot/Iwate/13/2016|EPI_ISL_17767793|2.3.4.4e	2.3.4.4e	2.3.4.4e	True
A_/_H5N6|HA|A/duck/Hunan/HN53/2015|EPI_ISL_255766|2.3.4.4	2.3.4.4	2.3.4.4-like	False
A_/_H5N1|HA|A/red-tailed_hawk/Pennsylvania/009169-003/2025|EPI_ISL_20307836|2.3.4.4b	2.3.4.4b	2.3.4.4b	True
A_/_H5N8|HA|A/gull/Germany-NI/R45/2015|EPI_ISL_206773|2.3.4.4c	2.3.4.4c	2.3.4.4c	True
A_/_H5N1|HA|A/dairy_cow/Nevada/25_011565-001-R2/2025|EPI_ISL_19909395|2.3.4.4b	2.3.4.4b	2.3.4.4b	True
A_/_H5N1|HA|A/snowy_owl/Iowa/005856-001/2025|EPI_ISL_20309964|2.3.4.4b	2.3.4.4b	2.3.4.4b	True
A_/_H5N2|HA|A/duck/Tainan/16010020-1/2016|EPI_ISL_4032441|2.3.4.4c	2.3.4.4c	2.3.4.4c	True
A_/_H5N6|HA|A/Environment/Jiangxi/44908/2015|EPI_ISL_354564|2.3.4.4h	2.3.4.4h	2.3.4.4d	False
