seqID	real_clade	predicted_clade	match
A_/_H5N1|HA|A/American_Crow/BC/AIVPHL-3907/2025|EPI_ISL_20341041|2.3.4.4b	2.3.4.4b	2.3.4.4b	True
A_/_H5N1|HA|A/Cackling_Goose/BC/AIVPHL-3854/2025|EPI_ISL_20341047|2.3.4.4b	2.3.4.4b	2.3.4.4b	True
A_/_H5N1|HA|A/Common_Raven/BC/AIVPHL-4047/2025|EPI_ISL_20341054|2.3.4.4b	2.3.4.4b	2.3.4.4b	True
A_/_H5N1|HA|A/Wood_Duck/BC/AIVPHL-3903/2025|EPI_ISL_20341024|2.3.4.4b	2.3.4.4b	2.3.4.4b	True
A_/_H5N1|HA|A/Great_Horned_Owl/BC/AIVPHL-3892/2025|EPI_ISL_20341027|2.3.4.4b	2.3.4.4b	2.3.4.4b	True
A_/_H5N1|HA|A/Cackling_Goose/BC/AIVPHL-3911/2025|EPI_ISL_20341029|2.3.4.4b	2.3.4.4b	2.3.4.4b	True
A_/_H5N1|HA|A/Mallard/BC/AIVPHL-3904/2025|EPI_ISL_20341026|2.3.4.4b	2.3.4.4b	2.3.4.4b	True
A_/_H5N1|HA|A/American_Wigeon/BC/AIVPHL-3910/2025|EPI_ISL_20341033|2.3.4.4b	2.3.4.4b	2.3.4.4b	True
A_/_H5N1|HA|A/Northern_Harrier/BC/AIVPHL-3900/2025|EPI_ISL_20341035|2.3.4.4b	2.3.4.4b	2.3.4.4b	True
A_/_H5N1|HA|A/Canada_Goose/BC/AIVPHL-3869/2025|EPI_ISL_20341014|2.3.4.4b	2.3.4.4b	2.3.4.4b	True
A_/_H5N1|HA|A/Green_Winged_Teal/BC/AIVPHL-3874/2025|EPI_ISL_20341010|2.3.4.4b	2.3.4.4b	2.3.4.4b	True
A_/_H5N1|HA|A/Red_Tailed_Hawk/BC/AIVPHL-3872/2025|EPI_ISL_20340997|2.3.4.4b	2.3.4.4b	2.3.4.4b	True
A_/_H5N1|HA|A/Canada_Goose/BC/AIVPHL-3883/2025|EPI_ISL_20341022|2.3.4.4b	2.3.4.4b	2.3.4.4b	True
A_/_H5N1|HA|A/American_Wigeon/BC/AIVPHL-3876/2025|EPI_ISL_20341016|2.3.4.4b	2.3.4.4b	2.3.4.4b	True
A_/_H5N1|HA|A/Merlin/BC/AIVPHL-3885/2025|EPI_ISL_20340999|2.3.4.4b	2.3.4.4b	2.3.4.4b	True
